team_name,matches_played,recent_matches_count,win_percentage_overall,win_percentage_last_7,batting_first_win_rate_overall,chasing_win_rate_overall,batting_first_win_rate_last_7,chasing_win_rate_last_7,avg_batting_score_overall,avg_batting_score_last_7,avg_powerplay_score_last_7,avg_death_overs_score_last_7,wickets_lost_avg_last_7,wickets_taken_avg_last_7,bowling_economy_powerplay_last_7,bowling_economy_death_last_7,margin_of_victory_mean_last_7,momentum_score,home_win_rate_overall,away_win_rate_overall,venue_adaptability_score
SRH,180,7,45.56,28.57,44.21,47.06,14.29,57.14,161.74,163.14,46.57,38.43,4.43,4.57,7.76,7.69,-10.29,57.88,55.81,42.34,100
RCB,237,7,46.41,57.14,41.13,52.21,42.86,71.43,158.92,169.57,55.14,42.14,4.86,4.71,9.19,8.43,4.14,50.44,40.3,48.82,100
DC,233,7,43.35,57.14,39.05,46.88,57.14,57.14,155.77,180.43,55.29,44.0,2.71,4.57,9.21,8.8,0.43,39.3,42.86,43.38,100
KKR,236,7,50.0,28.57,41.28,57.48,57.14,42.86,156.6,131.14,51.71,28.43,2.29,5.57,8.62,5.69,3.14,37.3,42.11,50.69,100
MI,243,7,54.73,71.43,52.46,57.02,42.86,57.14,163.1,173.57,57.86,31.0,0.71,5.14,9.64,6.2,-3.57,55.73,59.09,54.3,100
PBKS,230,7,43.04,42.86,39.84,46.73,42.86,57.14,162.24,169.43,60.71,32.43,4.57,4.86,10.12,6.49,-2.14,38.73,37.5,43.69,100
CSK,228,7,56.58,14.29,51.26,62.39,28.57,28.57,163.51,162.29,47.86,47.57,3.43,4.14,7.98,9.51,-6.43,44.5,67.65,51.88,100
RR,213,7,46.95,28.57,42.16,51.35,28.57,14.29,159.73,182.71,61.43,46.29,2.43,6.43,10.24,9.26,-1.86,33.45,41.67,47.26,100
LSG,53,7,54.72,57.14,63.33,43.48,42.86,71.43,173.87,186.14,52.43,52.57,5.14,4.29,8.74,10.51,3.14,47.44,47.37,58.82,100
GT,53,7,64.15,85.71,56.0,71.43,57.14,71.43,175.6,188.29,54.0,48.14,3.29,5.14,9.0,9.63,19.43,83.79,60.0,66.67,100
